tag_id,product_id,tag
1,1,"['potato', 'seasonings', 'stir-fried', 'korean', 'beef', 'pork']"
2,2,"['rounds', 'bites', 'grated', 'small', 'golden', 'into']"
3,3,"['pepperoni', 'pastries', 'fillings']"
4,4,"['luxurious', 'liver', 'terrine', 'delicacy', 'pâté']"
5,5,"['indonesia', 'yellow', 'stir-fried', 'sauces', 'noodle', 'spicy']"
6,6,"['serve', 'pre-cooked', 'pancakes', 'heat', 'syrup', 'butter']"
7,7,"['head', 'brew', 'foamy', 'infused', 'nitrogen']"
8,8,"['marinated', 'eastern', 'middle', 'rotisserie', 'vertical', 'flatbread']"
9,9,"['lemonade', 'summer', 'pink-hued', 'perfect', 'fruity']"
10,10,"['fresh', 'croissants', 'unbaked', 'baked']"
11,11,"['sausage', 'ready', 'links', 'breakfast']"
12,12,"['india', ""teas'"", 'delicate', 'muscatel', ""'champagne""]"
13,13,"['seafood', 'italian', 'cooked', 'creamy']"
14,14,"['smoky', 'served', 'appetizer']"
15,15,"['dish', 'béchamel', 'layered', 'perfection', 'italian']"
16,16,"['scrambled', 'combined', 'meal', 'meat']"
17,17,"['asia', 'southeast', 'rice', 'rich', 'coconut']"
18,18,"['indulgent', 'snack', 'melted']"
19,19,"['casserole', 'dessert', 'cottage']"
20,20,"['carrots', 'corn', 'variety', 'peas', 'spinach']"
21,21,"['used', 'sushi', 'make', 'vinegared', 'sashimi', 'paired']"
22,22,"['lunch', 'sandwich', 'option']"
23,23,"['deep', 'improves', 'flavor', 'enjoyed', 'earthy']"
24,24,"['herbs', 'marinated', 'basmati', 'lamb', 'fragrant', 'south']"
25,25,"['hibiscus', 'vibrant', 'vitamin', 'content', 'tart']"
26,26,"['vegetables', 'bowls', 'meal', 'beans']"
27,27,"['marinated', 'greek', 'served', 'bread', 'tzatziki', 'chicken']"
28,28,"['powdered', 'whisked', 'full', 'japan', 'water', 'earthy']"
29,29,"['soups', 'quick', 'noodle', 'vegetable', 'tomato']"
30,30,"['chinese', 'often', 'crispy']"
31,31,"['flaky', 'encased', 'tender']"
32,32,"['almond', 'flat', 'sweet']"
33,33,"['crispy', 'until', 'their', 'greens', 'duck', 'legs']"
34,34,"['ground', 'small', 'cups']"
35,35,"['soy-based', 'stir-fry', 'tossed', 'savory', 'sauce', 'chinese']"
36,36,"['shots', 'european', 'instead', 'whipped', 'milk']"
37,37,"['legs', 'potatoes', 'pasta', 'tomato']"
38,38,"['spaghetti', 'other', 'pancetta', 'pepper', 'savory']"
39,39,"['equal', 'italian', 'parts']"
40,40,"['shrimp', 'cooked', 'pork', 'popular']"
41,41,"['garlic', 'thyme', 'rosemary', 'olives']"
42,42,"['pork', 'wheat', 'boiled', 'broth']"
43,43,"['texture', 'potato', 'when', 'pre-cut']"
44,44,"['pastas', 'preserve', 'stir-fries', 'shrimp', 'freshness', 'salads']"
45,45,"['shapes', 'side', 'formed']"
46,46,"['ranch', 'blue', 'buffalo']"
47,47,"['drip', 'shot', 'strength', 'coffee', 'water']"
48,48,"['deep-fried', 'batter', 'dogs', 'cornmeal', 'easy', 'coated']"
49,49,"['baked', 'coated', 'flavorful']"
50,50,"['tomatoes', 'meat-based', 'pasta', 'beef', 'topped']"
51,51,"['indonesian', 'flavorful', 'manis', 'sweet', 'sambal']"
52,52,"['treat', 'fresh', 'mango']"
53,53,"['green', 'fragrance', 'jasmine', 'profile', 'blossoms']"
54,54,"['other', 'texture', 'tofu', 'stir-fries']"
55,55,"['turmeric', 'seeds', 'flavored', 'juice', 'where']"
56,56,"['fruits', 'cooked', 'nuts', 'spices', 'dried', 'combined']"
57,57,"['chickpea', 'patties', 'easy']"
58,58,"['chocolate', 'syrup', 'whipped', 'espresso', 'steamed', 'often']"
59,59,"['root', 'digestive', 'ginger', 'flavor', 'blend']"
60,60,"['snacks', 'tomato', 'pizza', 'miniature']"
61,61,"['paste', 'province', 'sesame', 'chili', 'chinese']"
62,62,"['cuisines', 'many', 'asian', 'soup']"
63,63,"['pockets', 'quick', 'pasta', 'cheese']"
64,64,"['sweetened', 'latte', 'chilled', 'version']"
65,65,"['also', 'maker', 'filter']"
66,66,"['easy', 'dumplings', 'tofu', 'frozen', 'filled']"
67,67,"['peanuts', 'stir-fried', 'popular', 'tamarind', 'tofu', 'sprouts']"
68,68,"['vietnamese', 'aromatic', 'herbs']"
69,69,"['leaves', 'lemongrass', 'light']"
70,70,"['variety', 'mangoes', 'like', 'berries']"
71,71,"['fried', 'southern', 'butter', 'crispy']"
72,72,"['tangy', 'squeezed', 'orange']"
73,73,"['protein', 'japanese', 'paired']"
74,74,"['skin', 'famous', 'hoisin', 'pancakes', 'thin', 'tender']"
75,75,"['mashed', 'marsala', 'breasts', 'classic', 'wine']"
76,76,"['meat', 'spiced', 'pastry', 'potatoes']"
77,77,"['breaded', 'cutlets', 'mozzarella', 'marinara']"
78,78,"['plantains', 'staple', 'fried', 'many', 'seasoned', 'rice']"
79,79,"['strong', 'espresso', 'equal', 'parts', 'smooth']"
80,80,"['romaine', 'lettuce', 'caesar', 'croutons', 'parmesan', 'classic']"
81,81,"['wings', 'sauces', 'often', 'easy', 'frozen', 'chicken']"
82,82,"['blended', 'tropical', 'mango', 'banana', 'yogurt']"
83,83,"['thick', 'onions', 'tempura']"
84,84,"['skewered', 'peanut', 'grilled', 'southeast', 'asian']"
85,85,"['masa', 'dough', 'them']"
86,86,"['rooibos', 'nutty', 'known', 'african', 'from', 'south']"
87,87,"['soybeans', 'chinese', 'noodle', 'fermented', 'wheat']"
88,88,"['sweetened', 'asian', 'black', 'condensed']"
89,89,"['into', 'fruit', 'blends', 'designed']"
90,90,"['spiced', 'spices', 'chicken']"
